AssetClass,Key,Date,High,Low,Close,Volume
commodity,CL=F,2026-09-21,97.22,91.3,91.7,242349
commodity,BZ=F,2026-09-21,100.26,95.08,95.52,30964
commodity,NG=F,2026-09-21,2.906,2.833,2.841,116957
commodity,RB=F,2026-09-21,3.2812,3.1553,3.1822,42918
commodity,HO=F,2026-09-21,4.9615,4.6253,4.6476,33496
commodity,HG=F,2026-09-21,6.841,6.7015,6.7795,33794
commodity,ALI=F,2026-09-21,3475,3440,3445,138
commodity,HRC=F,2026-09-21,1330,1293,1330,174
commodity,GC=F,2026-09-21,4422.1001,4360.2998,4390.2002,112240
commodity,SI=F,2026-09-21,67.555,66.2,66.745,31060
commodity,PL=F,2026-09-21,1836,1793.5,1807.9,14821
commodity,PA=F,2026-09-21,1342,1308,1322,3231
commodity,ZS=F,2026-09-21,1327,1303.5,1326,92847
commodity,ZL=F,2026-09-21,69.1,67.57,68.92,52336
commodity,ZM=F,2026-09-21,367.9,359.1,367.3,62344
commodity,ZW=F,2026-09-21,730,715.25,726.75,47302
commodity,ZC=F,2026-09-21,543.5,526.25,542,170188
commodity,KC=F,2026-09-21,283.5,274.25,277.2,11462
commodity,SB=F,2026-09-21,18.6,18.15,18.44,49641
commodity,CC=F,2026-09-21,5533,5242,5332,18249
commodity,CT=F,2026-09-21,87.8,86.33,83.53,24130
commodity,ZR=F,2026-09-21,16.075,15.625,15.89,347
commodity,DC=F,2026-09-21,15.85,15.53,15.73,496
crypto,BTC-USD,2026-09-19,81911.1406,80814.9375,81233.6797,20505634866
crypto,BTC-USD,2026-09-20,81455.2031,80098.7734,81142.6094,21259753701
crypto,BTC-USD,2026-09-21,86284.4141,80933.0703,85838.4063,50925125632
crypto,ETH-USD,2026-09-19,2659.7183,2602.7368,2631.9626,10007872025
crypto,ETH-USD,2026-09-20,2647.8735,2564.4326,2642.9976,10759191352
crypto,ETH-USD,2026-09-21,2762.2219,2644.7986,2759.6799,23902134272
crypto,USDT-USD,2026-09-19,0.99989,0.99949,0.99964,59790373738
crypto,USDT-USD,2026-09-20,1.0001,0.99946,0.99975,58834219902
crypto,USDT-USD,2026-09-21,1,0.99951,1,110706827264
crypto,BNB-USD,2026-09-19,772.6345,758.0988,762.0444,1537324950
crypto,BNB-USD,2026-09-20,775.296,747.2582,772.3481,1590467764
crypto,BNB-USD,2026-09-21,805.022,767.2478,797.99,2636521984
crypto,XRP-USD,2026-09-19,1.4506,1.3953,1.4104,3744375054
crypto,XRP-USD,2026-09-20,1.4149,1.3698,1.4099,2694534753
crypto,XRP-USD,2026-09-21,1.5041,1.4079,1.4863,5500662784
crypto,SOL-USD,2026-09-19,113.7384,110.1322,111.0149,2988170676
crypto,SOL-USD,2026-09-20,111.242,107.5323,111.1329,3209670387
crypto,SOL-USD,2026-09-21,118.8113,111.0329,117.5,6405054464
crypto,TRX-USD,2026-09-19,0.34049,0.33702,0.33973,386287378
crypto,TRX-USD,2026-09-20,0.34656,0.33904,0.34254,462637362
crypto,TRX-USD,2026-09-21,0.34551,0.34255,0.34466,450914656
crypto,HYPE32196-USD,2026-09-19,94.4371,91.0818,92.2313,994886001
crypto,HYPE32196-USD,2026-09-20,93.8503,89.9423,93.6619,854460550
crypto,HYPE32196-USD,2026-09-21,95.9531,92.5283,93.36,1248172160
crypto,DOGE-USD,2026-09-19,0.09099,0.086533,0.087722,1165656069
crypto,DOGE-USD,2026-09-20,0.087758,0.084541,0.087283,924305412
crypto,DOGE-USD,2026-09-21,0.097626,0.087282,0.09611,2313382144
crypto,XMR-USD,2026-09-19,590.2825,533.5353,546.7305,138133874
crypto,XMR-USD,2026-09-20,568.0992,518.3168,562.9758,130420949
crypto,XMR-USD,2026-09-21,630.4424,562.171,571.4884,231830880
crypto,LINK-USD,2026-09-19,12.6643,12.2239,12.4286,379675542
crypto,LINK-USD,2026-09-20,12.5821,11.9334,12.513,391392800
crypto,LINK-USD,2026-09-21,13.1518,12.493,12.983,640099264
crypto,LEO-USD,2026-09-19,8.9585,8.8671,8.8947,60985
crypto,LEO-USD,2026-09-20,8.9716,8.8838,8.9213,137647
crypto,LEO-USD,2026-09-21,8.9471,8.8969,8.9142,51339
crypto,ADA-USD,2026-09-19,0.23429,0.22131,0.22776,613967887
crypto,ADA-USD,2026-09-20,0.23229,0.21869,0.22797,484947040
crypto,ADA-USD,2026-09-21,0.24801,0.22746,0.2436,901895744
crypto,XLM-USD,2026-09-19,0.20289,0.19142,0.19623,293654471
crypto,XLM-USD,2026-09-20,0.19904,0.18888,0.19732,206942824
crypto,XLM-USD,2026-09-21,0.2126,0.19627,0.20812,399003520
crypto,DAI-USD,2026-09-19,1,0.99873,0.99966,37906077
crypto,DAI-USD,2026-09-20,1.0002,0.99759,0.99898,19936599
crypto,DAI-USD,2026-09-21,1.0002,0.99826,0.99941,51987436
crypto,LTC-USD,2026-09-19,59.0917,56.7626,58.3323,356399346
crypto,LTC-USD,2026-09-20,59.1384,56.6558,58.7368,294687344
crypto,LTC-USD,2026-09-21,63.5911,58.2051,61.914,573008960
