AssetClass,Key,Date,High,Low,Close,Volume
equity,INE639B01023,2023-09-12,922.4851,892.8153,910.3846,8176
equity,INE639B01023,2023-09-13,912.5622,883.5111,898.1851,3104
equity,INE639B01023,2023-09-14,912.6117,898.3089,901.8227,2640
equity,INE639B01023,2023-09-15,926.7661,894.795,916.6204,4622
equity,INE639B01023,2023-09-18,935.3775,906.4748,916.9669,4542
equity,INE639B01023,2023-09-20,923.2495,896.4552,911.4293,6638
equity,INE639B01023,2023-09-21,923.771,898.9633,900.9996,4272
equity,INE639B01023,2023-09-22,913.3165,897.4734,900.3043,5880
equity,INE639B01023,2023-09-25,918.3327,901.521,906.86,3008
equity,INE639B01023,2023-09-26,943.1403,910.5352,928.5884,3566
equity,INE639B01023,2023-09-27,961.0199,918.8045,947.3371,8646
equity,INE639B01023,2023-09-28,964.9931,932.2141,943.8605,5278
equity,INE639B01023,2023-09-29,969.9595,941.2034,956.9473,6284
equity,INE639B01023,2023-10-03,980.3891,948.6283,962.9815,9212
equity,INE639B01023,2023-10-04,967.9729,938.6705,952.5519,7676
equity,INE639B01023,2023-10-05,1000.1559,956.5748,1000.1559,35208
equity,INE639B01023,2023-10-06,1050.1438,973.4361,1050.1438,84400
equity,INE639B01023,2023-10-09,1036.9578,958.5366,971.1516,36658
equity,INE639B01023,2023-10-10,1010.2629,974.4295,979.8181,19652
equity,INE639B01023,2023-10-11,992.9545,959.0829,973.2374,15968
equity,INE639B01023,2023-10-12,985.3061,972.1448,974.2556,3962
equity,INE639B01023,2023-10-13,998.2687,965.9864,973.3616,7574
equity,INE639B01023,2023-10-16,982.3758,963.5031,971.9213,6794
equity,INE639B01023,2023-10-17,987.839,966.0112,969.6616,4468
equity,INE639B01023,2023-10-18,981.8791,948.6532,957.5184,9442
equity,INE639B01023,2023-10-19,966.9796,938.7202,954.5882,6242
equity,INE639B01023,2023-10-20,965.3904,946.0955,957.593,7566
equity,INE639B01023,2023-10-23,973.4361,913.8628,933.3315,19080
equity,INE639B01023,2023-10-25,943.637,896.5048,928.4395,8690
equity,INE639B01023,2023-10-26,937.6772,899.4847,934.5483,6764
equity,INE639B01023,2023-10-27,973.4361,904.4512,962.5594,9708
equity,INE639B01023,2023-10-30,991.241,964.5212,989.6269,9864
equity,INE639B01023,2023-10-31,1087.6658,988.3356,1048.8278,22760
equity,INE639B01023,2023-11-01,1082.6994,1036.0142,1042.868,9024
equity,INE639B01023,2023-11-02,1060.2757,1028.0678,1042.868,10828
equity,INE639B01023,2023-11-03,1062.8332,1030.5509,1036.2375,5894
equity,INE639B01023,2023-11-06,1049.6721,1018.6314,1021.8845,4180
equity,INE639B01023,2023-11-07,1037.0075,1008.2266,1017.1166,4272
equity,INE639B01023,2023-11-08,1080.3652,1027.5711,1063.8267,11222
equity,INE639B01023,2023-11-09,1092.6324,1035.5175,1038.0752,6282
equity,INE639B01023,2023-11-10,1036.933,1010.6601,1017.0669,6880
equity,INE639B01023,2023-11-13,1047.9338,998.2687,1011.3554,12240
equity,INE639B01023,2023-11-15,1038.5222,1011.6782,1021.8596,5566
equity,INE639B01023,2023-11-16,1040.9806,1014.1615,1026.5033,5406
equity,INE639B01023,2023-11-17,1091.5894,1028.0678,1082.2524,20358
equity,INE639B01023,2023-11-20,1141.8008,1077.7328,1121.9845,21192
equity,INE639B01023,2023-11-21,1156.7003,1086.8464,1093.7498,5126
equity,INE639B01023,2023-11-22,1112.0017,1067.8495,1077.4596,3282
equity,INE639B01023,2023-11-23,1097.5989,1065.3166,1077.1617,6060
equity,INE639B01023,2023-11-24,1105.0487,1067.7998,1092.7317,3554
equity,INE639B01023,2023-11-28,1105.0486,1073.7596,1089.1558,2786
equity,INE639B01023,2023-11-29,1105.0487,1077.7329,1089.8015,4126
equity,INE639B01023,2023-11-30,1117.4649,1081.706,1107.3333,5936
equity,INE639B01023,2023-12-01,1328.7899,1095.1156,1328.3181,805464
equity,INE639B01023,2023-12-04,1380.0443,1247.1405,1304.9258,88812
equity,INE639B01023,2023-12-05,1328.5415,1236.6362,1247.8606,34190
equity,INE639B01023,2023-12-06,1316.1254,1241.6526,1309.1971,47680
equity,INE639B01023,2023-12-07,1311.1836,1264.9702,1270.036,10978
equity,INE639B01023,2023-12-08,1308.179,1266.4603,1278.8766,16516
equity,INE639B01023,2023-12-11,1362.587,1291.2928,1318.832,35974
equity,INE639B01023,2023-12-12,1345.8746,1283.3712,1290.97,16890
equity,INE639B01023,2023-12-13,1325.5617,1281.3846,1286.6987,8988
equity,INE639B01023,2023-12-14,1314.6354,1278.8765,1282.7753,9736
equity,INE639B01023,2023-12-15,1338.4746,1291.2928,1297.2526,15180
equity,INE639B01023,2023-12-18,1313.5677,1266.4603,1277.4611,11354
equity,INE639B01023,2023-12-19,1290.2746,1241.131,1259.6561,10780
equity,INE639B01023,2023-12-20,1278.8517,1172.1463,1191.5653,18448
equity,INE639B01023,2023-12-21,1266.4602,1157.2467,1245.874,24578
equity,INE639B01023,2023-12-22,1271.3771,1236.6612,1240.3116,5996
equity,INE639B01023,2023-12-26,1263.9769,1231.7443,1244.6075,8118
equity,INE639B01023,2023-12-27,1254.044,1197.9224,1215.5287,8398
equity,INE639B01023,2023-12-28,1240.1377,1204.3788,1211.8037,24854
equity,INE639B01023,2023-12-29,1236.5618,1207.036,1222.308,5614
equity,INE639B01023,2024-01-01,1239.0947,1211.8286,1217.1427,9952
equity,INE639B01023,2024-01-02,1234.178,1190.2244,1197.103,17892
equity,INE639B01023,2024-01-03,1230.2046,1184.5127,1191.4161,10186
equity,INE639B01023,2024-01-04,1204.354,1186.996,1189.7773,9850
equity,INE639B01023,2024-01-05,1215.2554,1186.7974,1189.3054,9912
equity,INE639B01023,2024-01-08,1211.2822,1179.596,1183.4202,7928
