1655	2026-09-04	1	15.2878	4	406.65
1295	2026-09-04	2	14.2696	9	155.41
856	2026-09-04	3	11.4132	14	27.56
1097	2026-09-04	4	9.5217	12	155.99
1828	2026-09-04	5	9.1444	15	50.08
1903	2026-09-04	6	8.9733	11	46.97
1488	2026-09-04	7	8.3974	15	56.32
1248	2026-09-04	8	7.0681	14	154.53
1918	2026-09-04	9	7.0611	3	192.17
1577	2026-09-04	10	5.7172	10	67.19
673	2026-09-04	11	5.0078	12	45.89
1481	2026-09-04	12	3.732	12	60.74
2157	2026-09-09	1	3.7853	11	21.44
2225	2026-09-09	1	8.8761	14	84.7
2216	2026-09-09	2	4.0718	9	94.4
2220	2026-09-09	3	3.4249	7	80.43
