Power - Electric Utilities	2026-09-04	35	451.7889	1.1455	536.522	379.6561	-15.793	18.9995	448.4654	448.5944	455.6745	462.6592	476.626	457.5771	52	{"3":true,"8":true,"30":false,"50":false,"100":false,"200":false}	{"3":false,"8":false,"30":false,"100":true}	{"3":{"streak":3,"capped":false},"8":{"streak":1,"capped":false},"30":{"streak":53,"capped":false},"50":{"streak":54,"capped":false},"100":{"streak":32,"capped":false},"200":{"streak":19,"capped":false}}	{"3":{"streak":5,"capped":false},"8":{"streak":50,"capped":false},"30":{"streak":22,"capped":false},"100":{"streak":29,"capped":false}}	13	red	68	false	\N	-1.3862	false	true	66	1.1106
Cars & Utility Vehicles	2026-09-04	6	796.005	0.0763	1013.4424	675.5337	-21.4553	17.8335	796.0161	809.4626	820.6314	810.3859	797.5769	815.051	29.86	{"3":false,"8":false,"30":false,"50":false,"100":false,"200":false}	{"3":false,"8":false,"30":true,"100":false}	{"3":{"streak":7,"capped":false},"8":{"streak":10,"capped":false},"30":{"streak":5,"capped":false},"50":{"streak":4,"capped":false},"100":{"streak":3,"capped":false},"200":{"streak":5,"capped":false}}	{"3":{"streak":9,"capped":false},"8":{"streak":3,"capped":false},"30":{"streak":42,"capped":false},"100":{"streak":141,"capped":false}}	10	red	124	false	\N	-0.6518	false	false	166	-0.5724
Commodity Trading  & Distribution	2026-09-04	34	830.623	0.2097	833.9327	622.5273	-0.3969	33.4276	828.0467	824.2901	817.146	814.7298	794.0134	757.1914	76.41	{"3":true,"8":true,"30":true,"50":true,"100":true,"200":true}	{"3":true,"8":true,"30":true,"100":true}	{"3":{"streak":3,"capped":false},"8":{"streak":10,"capped":false},"30":{"streak":8,"capped":false},"50":{"streak":8,"capped":false},"100":{"streak":103,"capped":false},"200":{"streak":107,"capped":false}}	{"3":{"streak":10,"capped":false},"8":{"streak":6,"capped":false},"30":{"streak":84,"capped":false},"100":{"streak":751,"capped":true}}	58	red	19	false	\N	0.8328	true	true	751	7.5989
Marine Port & Services	2026-09-04	7	522.9212	0.5324	522.9212	327.3319	0	59.7526	516.7677	508.9679	483.6216	476.0711	452.5728	421.3895	76.79	{"3":true,"8":true,"30":true,"50":true,"100":true,"200":true}	{"3":true,"8":true,"30":true,"100":true}	{"3":{"streak":3,"capped":false},"8":{"streak":25,"capped":false},"30":{"streak":25,"capped":false},"50":{"streak":61,"capped":false},"100":{"streak":102,"capped":false},"200":{"streak":103,"capped":false}}	{"3":{"streak":24,"capped":false},"8":{"streak":57,"capped":false},"30":{"streak":86,"capped":false},"100":{"streak":267,"capped":false}}	87	green	8	false	\N	2.2014	true	true	79	12.9765
Cement & Cement Products	2026-09-04	32	112.9869	0.8633	144.5753	95.9473	-21.8491	17.7593	112.0954	112.7946	114.178	114.3674	113.7029	115.9335	46.69	{"3":true,"8":true,"30":false,"50":false,"100":false,"200":false}	{"3":false,"8":false,"30":true,"100":false}	{"3":{"streak":2,"capped":false},"8":{"streak":1,"capped":false},"30":{"streak":18,"capped":false},"50":{"streak":7,"capped":false},"100":{"streak":6,"capped":false},"200":{"streak":210,"capped":false}}	{"3":{"streak":5,"capped":false},"8":{"streak":14,"capped":false},"30":{"streak":43,"capped":false},"100":{"streak":160,"capped":false}}	11	red	251	false	\N	-1.5432	false	false	185	-1.3509
2/3 Wheelers	2026-09-04	8	507.0234	-0.2483	527.3582	326.3707	-3.856	55.352	509.7968	516.72	507.641	485.4795	449.9502	408.1381	44.03	{"3":false,"8":false,"30":false,"50":true,"100":true,"200":true}	{"3":false,"8":true,"30":true,"100":true}	{"3":{"streak":3,"capped":false},"8":{"streak":3,"capped":false},"30":{"streak":1,"capped":false},"50":{"streak":109,"capped":false},"100":{"streak":107,"capped":false},"200":{"streak":111,"capped":false}}	{"3":{"streak":2,"capped":false},"8":{"streak":72,"capped":false},"30":{"streak":94,"capped":false},"100":{"streak":252,"capped":false}}	87	green	254	false	\N	3.7464	true	true	259	18.9498
Cigarettes-Tobacco Products	2026-09-04	3	245.3941	0.2677	354.4251	233.206	-30.7628	5.2263	244.9827	247.4861	255.2746	259.3167	267.4354	272.0802	30.32	{"3":true,"8":false,"30":false,"50":false,"100":false,"200":false}	{"3":false,"8":false,"30":false,"100":false}	{"3":{"streak":1,"capped":false},"8":{"streak":7,"capped":false},"30":{"streak":20,"capped":false},"50":{"streak":54,"capped":false},"100":{"streak":22,"capped":false},"200":{"streak":194,"capped":false}}	{"3":{"streak":5,"capped":false},"8":{"streak":16,"capped":false},"30":{"streak":26,"capped":false},"100":{"streak":161,"capped":false}}	2	red	183	false	\N	-2.7618	false	false	177	-4.6911
Aerospace & Defence	2026-09-04	25	1242.2173	0.286	1283.106	762.5343	-3.1867	62.9064	1241.2278	1252.3006	1244.6751	1235.4175	1176.0246	1010.7291	45.85	{"3":true,"8":false,"30":false,"50":true,"100":true,"200":true}	{"3":false,"8":true,"30":true,"100":true}	{"3":{"streak":1,"capped":false},"8":{"streak":7,"capped":false},"30":{"streak":2,"capped":false},"50":{"streak":25,"capped":false},"100":{"streak":108,"capped":false},"200":{"streak":107,"capped":false}}	{"3":{"streak":5,"capped":false},"8":{"streak":21,"capped":false},"30":{"streak":107,"capped":false},"100":{"streak":86,"capped":false}}	83	green	139	false	\N	3.6773	true	true	98	22.2303
Iron & Steel/Interm.Products	2026-09-04	42	541.3267	0.3169	541.3267	357.6326	0	51.3639	537.9273	531.3401	510.6811	506.4555	499.1416	448.9644	89.77	{"3":true,"8":true,"30":true,"50":true,"100":true,"200":true}	{"3":true,"8":true,"30":true,"100":true}	{"3":{"streak":3,"capped":false},"8":{"streak":15,"capped":false},"30":{"streak":25,"capped":false},"50":{"streak":25,"capped":false},"100":{"streak":107,"capped":false},"200":{"streak":107,"capped":false}}	{"3":{"streak":15,"capped":false},"8":{"streak":21,"capped":false},"30":{"streak":95,"capped":false},"100":{"streak":90,"capped":false}}	79	amber	1	false	\N	2.1354	true	true	94	12.8053
Holding Companies	2026-09-04	14	279.1128	0.2733	305.6879	216.7343	-8.6935	28.7811	277.2974	276.8121	277.1085	274.966	268.0761	267.4063	59.4	{"3":true,"8":true,"30":true,"50":true,"100":true,"200":true}	{"3":true,"8":false,"30":true,"100":true}	{"3":{"streak":2,"capped":false},"8":{"streak":2,"capped":false},"30":{"streak":2,"capped":false},"50":{"streak":2,"capped":false},"100":{"streak":61,"capped":false},"200":{"streak":30,"capped":false}}	{"3":{"streak":1,"capped":false},"8":{"streak":3,"capped":false},"30":{"streak":73,"capped":false},"100":{"streak":3,"capped":false}}	30	red	163	false	\N	-0.6893	false	true	22	2.8271
